feature,snull
PJ2360_2,98.0
PJ2361_1,4.0
PJ2361_2,4.0
PJ2361_3,4.0
PJ2363_1,9999998.0
PJ2363_2,34000.0
PJ2363_3,5000.0
PJ2363_4,210000.0
PJ2364_1,0.0
PJ2364_2,150001.0
PJ2365_1,19999.0
PJ2365_2,99999996.0
PJ2366_1,99.0
PJ2396_1,1.0
PJ2396_2,1.0
PJ2396_3,1.0
PJ2396_4,1.0
PJ2397_1,998.0
PJ2397_2,998.0
PJ2397_3,3.0
PJ2397_4,6.0
PJ2398_1,999998.0
PJ2399_1,0.0
PJ2400_1,1499.0
PJ2402_1,4.0
PJ2404_1,1.0
PJ2404_2,1.0
PJ2404_3,1.0
PJ2405_1,998.0
PJ2405_2,998.0
PJ2405_3,6.0
PJ2405_4,6.0
PJ2406_1,24000.0
PJ2406_2,1600.0
PJ2407_1,10001.0
PJ2408_1,99999996.0
PJ2410_1,4.0
PJ2410_2,4.0
PJ2417_1,5.0
PJ2417_2,5.0
PJ2417_3,1.0
PJ2417_4,1.0
PJ2417_5,1.0
PJ2660_1,5.0
PJ2660_2,5.0
PJ2660_3,5.0
PJ2660_5,5.0
PJ2661_1,5.0
PJ2661_2,8.0
PJ2662_1,3.0
PJ2662_2,3.0
PJ2662_3,3.0
PJ2664_1,5.0
PJ2664_2,5.0
PJ2664_3,5.0
PJ2664_4,5.0
PJ2806_1,0.0
PJ2806_2,0.0
PJ2807_1,99999996.0
PJ2807_2,99999996.0
PJ2808_1,98.0
PJ2808_2,98.0
PJ2809_1,0.0
PJ2809_2,3.0
PJ2809_3,0.0
PJ2810_1,99999996.0
PJ2810_2,3.0
PJ2810_3,99999996.0
PJ2811_1,98.0
PJ2811_2,98.0
PJ2811_3,98.0
PJ2812_1,998.0
PJ2812_2,998.0
PJ2812_3,998.0
PJ2812_4,0.0
PJ2812_5,0.0
PJ2813_1,0.0
PJ2813_2,0.0
PJ2813_3,0.0
PJ2813_4,40.0
PJ2814_1,99999996.0
PJ2814_2,99999996.0
PJ2814_3,99999996.0
PJ2814_4,40.0
PJ2815_1,98.0
PJ2815_2,98.0
PJ2815_3,98.0
PJ2816_1,10.0
PJ2816_2,998.0
PJ2816_3,998.0
PJ2817_1,0.0
PJ2817_2,0.0
PJ2818_1,99999996.0
PJ2818_2,99999996.0
PJ2819_1,98.0
PJ2850_1,1.0
PJ2850_2,1.0
PJ2850_3,1.0
PJ2878_1,1.0
PJ2878_2,1.0
PJ2878_3,1.0
PJ2878_4,5.0
PJ2878_5,5.0
PJ2881_1,1.0
PJ2881_2,1.0
PJ2881_3,1.0
PJ2881_4,1.0
PJ2903_1,6.0
PJ2926_1,1.0
PJ2926_2,1.0
PJ2926_3,1.0
PJ2926_4,1.0
PJ2927_1,1.0
PJ2927_2,1.0
PJ2927_3,1.0
PJ2928_1,1.0
PJ2928_2,1.0
PJ2928_3,1.0
PJ2928_4,1.0
PJ2929_1,1.0
PJ2929_2,1.0
PJ2929_3,1.0
PJ2929_4,1.0
PJ2931M1_1,3.0
PJ2931M1_2,3.0
PJ2931M1_3,1.0
PJ2931M1_4,3.0
PJ2931M1_5,1.0
PJ2931M2_2,3.0
PJ2932_1,9999998.0
PJ2932_2,50000.0
PJ2932_3,50000.0
PJ2933_1,0.0
PJ2933_2,20001.0
PJ2934_1,4999.0
PJ2934_2,49999.0
PJ2935_1,98.0
PJ2938_1,5.0
PJ2938_2,5.0
PJ2938_3,5.0
PJ2938_4,5.0
PJ2939_1,1.0
PJ2939_2,1.0
PJ2939_3,1.0
PJ2939_4,1.0
PJ2939_5,2.0
PJ2945_1,5.0
PJ2945_2,5.0
PJ2947_1,2.0
PJ2947_2,2.0
PJ2947_3,2.0
PJ2947_4,2.0
PJ2962_1,1.0
PJ2962_2,1.0
PJ2962_3,5.0
PJ2962_4,1.0
PJ2JOBNDX_1,1.0
PJ2JOBNDX_2,10.0
PJ2JOBNDX_3,10.0
PJ2JOBNDX_4,10.0
PJ2JOBNDX_5,10.0
PJ2W002_1,9999998.0
PJ2W002_2,800.0
PJ2W003_1,0.0
PJ2W003_2,10001.0
PJ2W004_1,99999996.0
PJ2W004_2,49999.0
PJ2W005_1,99.0
PJ2W009_1,99999998.0
PJ2W009_2,99999998.0
PJ2W009_3,99999998.0
PJ2W009_4,99999998.0
PJ2W009_5,99999998.0
PJ2W010_1,0.0
PJ2W010_2,0.0
PJ2W010_3,0.0
PJ2W010_4,250000.0
PJ2W011_1,99999996.0
PJ2W011_2,99999996.0
PJ2W011_3,99999996.0
PJ2W011_4,250000.0
PJ2W012_1,98.0
PJ2W012_2,98.0
PJ2W012_3,98.0
PJ2W012_4,98.0
PJ2W012_5,98.0
PJ2W013_1,999998.0
PJ2W013_2,400000.0
PJ2W014_1,62.0
PJ2W014_2,62.0
PJ2W014_3,65.0
PJ2W014_4,60.0
PJ2W014_5,50.0
PJ2W015_1,999999.0
PJ2W015_2,999998.0
PJ2W015_3,999998.0
PJ2W015_4,1400.0
PJ2W015_5,1300.0
PJ2W016_1,4.0
PJ2W016_2,4.0
PJ2W016_3,4.0
PJ2W016_4,4.0
PJ2W016_5,4.0
PJ2W018_1,9999998.0
PJ2W018_2,270000.0
PJ2W018_3,9999998.0
PJ2W018_4,86000.0
PJ2W019_1,9999998.0
PJ2W019_2,3200.0
PJ2W019_3,5000.0
PJ2W028_1,5.0
PJ2W028_2,5.0
PJ2W028_3,5.0
PJ2W028_4,1.0
PJ2W028_5,1.0
PJ2W049_1,1.0
PJ2W049_2,1.0
PJ2W049_3,1.0
PJ2W049_4,1.0
PJ2W051_1,9998.0
PJ2W051_2,9998.0
PJ2W052_1,75.0
PJ2W053_1,10.0
PJ2W053_2,10.0
PJ2W054_1,3.0
PJ2W054_2,2.0
PJ2W054_3,2.0
PJ2W054_4,2.0
PJ2W054_5,2.0
PJ2W063_1,9999998.0
PJ2W063_2,9999999.0
PJ2W063_3,9999999.0
PJ2W063_4,9999998.0
PJ2W065_1,5.0
PJ2W065_2,5.0
PJ2W065_3,5.0
PJ2W065_4,1.0
PJ2W065_5,5.0
PJ2W086_1,6.0
PJ2W086_2,6.0
PJ2W086_3,6.0
PJ2W089_1,1.0
PJ2W089_2,4.0
PJ2W089_3,1.0
PJ2W089_4,1.0
PJ2W091_1,9998.0
PJ2W091_2,9998.0
PJ2W091_4,2046.0
PJ2W093_1,5.0
PJ2W093_2,10.0
PJ2W094_1,1.0
PJ2W094_2,1.0
PJ2W094_3,1.0
PJ2W094_4,1.0
PJ2W099_1,2015.0
PJ2W099_2,2015.0
PJ2W099_3,2014.0
PJ2W099_4,2015.0
PJ2W100_1,9998.0
PJ2W100_2,2013.0
PJ2W100_3,2010.0
PJ2W108_1,1.0
PJ2W108_2,1.0
PJ2W401_1,1.0
PJ2W401_2,5.0
PJ2W401_3,5.0
PJ2W401_4,5.0
PJ2W401_5,5.0
PJ2W401_6,5.0
PJ2W402_1,1.0
PJ2W402_2,1.0
PJ2W402_3,1.0
PJ2W403_1,1.0
PJ2W403_2,1.0
PJ2W403_3,1.0
PJ2W403_4,1.0
PJ2W403_5,1.0
PJ2W404M1_1,1.0
PJ2W404M1_2,1.0
PJ2W404M1_3,1.0
PJ2W404M1_4,97.0
PJ2W405_1,1.0
PJ2W405_2,1.0
PJ2W405_3,1.0
PJ2W405_4,1.0
PJ2W405_5,2.0
PJ2W407_1,2.0
PJ2W407_2,2.0
PJ2W407_3,1.0
PJ2W407_4,2.0
PJ2W407_5,97.0
PJ2W408_1,301
PJ2W408_2,301
PJ2W408_3,301
PJ2W408_4,302
PJ2W408_5,301
PJ2W408_6,301
PJ2W410_1,1956.0
PJ2W410_2,1962.0
PJ2W410_3,2005.0
PJ2W410_4,2007.0
PJ2W410_5,1969.0
PJ2W410_6,1982.0
PJ2W411_1,1996.0
PJ2W411_2,2014.0
PJ2W411_3,2013.0
PJ2W411_4,1990.0
PJ2W411_5,1990.0
PJ2W413M_1,5.0
PJ2W413M_2,5.0
PJ2W413M_3,5.0
PJ2W413M_4,5.0
PJ2W413M_5,3.0
PJ2W419_1,1.0
PJ2W419_2,1.0
PJ2W420M1_1,1.0
PJ2W420M1_2,2.0
PJ2W420M1_3,1.0
PJ2W420M2_1,4.0
PJ2W420M2_2,4.0
PJ2W420M3_1,2.0
PJ2W422_1,997
PJ2W422_2,106
PJ2W422_3,998
PJ2W424_1,5.0
PJ2W425_1,1.0
PJ2W425_2,1.0
PJ2W425_3,1.0
PJ2W425_4,1.0
PJ2W426_1,1.0
PJ2W426_2,1.0
PJ2W426_3,5.0
PJ2W426_4,5.0
PJ2W426_5,1.0
PJ2W427M1_1,5.0
PJ2W427M1_2,5.0
PJ2W427M1_3,5.0
PJ2W427M1_4,5.0
PJ2W427M1_5,5.0
PJ2W427M2_1,2.0
PJ2W427M2_3,4.0
PJ2W427M3_1,2.0
PJ2W428_1,6.0
PJ2W428_2,6.0
PJ2W428_3,6.0
PJ2W428_4,6.0
PJ2W428_5,6.0
PJ2W429M1_1,8.0
PJ2W429M1_2,1.0
PJ2W429M2_1,3.0
PJ2W431_1,5.0
PJ2W431_2,1.0
PJ2W431_3,5.0
PJ2W431_4,5.0
PJ2W432_1,5.0
PJ2W432_2,5.0
PJ2W433_1,5783.0
PJ2W434_1,1.0
PJ2W434_2,1.0
PJ2W434_3,5.0
PJ2W434_4,5.0
PJ2W434_5,1.0
PJ2W435_1,5.0
PJ2W435_2,5.0
PJ2W435_3,5.0
PJ2W435_4,5.0
PJ2W436_1,5.0
PJ2W436_2,5.0
PJ2W436_3,5.0
PJ2W436_4,5.0
PJ2W437_1,5.0
PJ2W437_2,5.0
PJ2W437_3,5.0
PJ2W437_4,5.0
PJ2W437_5,5.0
PJ2W439_1,5.0
PJ2W439_2,5.0
PJ2W439_3,5.0
PJ2W439_4,5.0
PJ2W440_1,5.0
PJ2W440_2,5.0
PJ2W440_3,5.0
PJ2W441_1,5.0
PJ2W441_2,5.0
PJ2W443_1,5.0
PJ2W443_2,5.0
PJ2W443_3,5.0
PJ2W443_4,5.0
PJ2W443_5,5.0
PJ2W444_1,5.0
PJ2W444_2,5.0
PJ2W446_1,5.0
PJ2W447_1,5.0
PJ2W447_2,5.0
PJ2W447_3,5.0
PJ2W447_4,5.0
PJ2W448_2,5.0
PJ2W451_1,5.0
PJ2W451_2,5.0
PJ2W451_3,5.0
PJ2W451_4,5.0
PJ2W451_5,5.0
PJ2W452_1,5.0
PJ2W452_2,5.0
PJ2W452_3,5.0
PJ2W452_4,5.0
PJ2W452_5,5.0
PJ2W453M1_1,2.0
PJ2W453M1_2,2.0
PJ2W453M1_3,3.0
PJ2W453M1_4,4.0
PJ2W453M2_1,2.0
PJ2W453M2_2,4.0
PJ2W453M2_4,1.0
PJ2W453M3_1,1.0
PJ2W453M4_1,2.0
PJ2W457_1,1.0
PJ2W457_2,1.0
PJ2W458_1,1.0
PJ2W458_2,1.0
PJ2W458_3,1.0
PJ2W459_1,5.0
PJ2W459_2,5.0
PJ2W459_3,5.0
PJ2W459_4,5.0
PJ2W459_5,5.0
PJ2W460_1,301
PJ2W460_2,301
PJ2W460_3,301
PJ2W460_4,302
PJ2W460_5,301
PJ2W460_6,301
PJ2W790_1,2.0
PJ2W790_2,2.0
PJ2W790_3,1.0
PJ2W790_4,2.0
PJ2W790_5,2.0
PJ2Z139_1,1.0
PJ2Z139_2,1.0
PJ2Z139_3,1.0
PJ2Z139_4,1.0
PJ2Z140_1,2.0
PJ2Z140_2,2.0
PJ2Z140_3,2.0
PJ2Z140_4,2.0
PJ2Z140_5,1.0
PJ2Z142_1,1956.0
PJ2Z142_2,1963.0
PJ2Z142_3,1984.0
PJ2Z142_4,2007.0
PJ2Z142_5,1962.0
PJ2Z142_6,1982.0
PJ2Z143_1,2000.0
PJ2Z143_2,2014.0
PJ2Z143_3,2013.0
PJ2Z143_4,1985.0
PJ2Z143_5,1965.0
PJ2Z200_1,2012.0
PJ2Z200_2,2010.0
PJ2Z200_3,2010.0
PJ2Z200_4,2010.0
PJ2Z200_5,2012.0
PJ2Z503_1,2.0
PJ2Z503_2,2.0
PJ2Z503_3,1.0
PJ2Z503_4,1.0
PJ2Z503_5,2.0
PJ2Z504_1,301
PJ2Z504_2,301
PJ2Z504_3,301
PJ2Z504_4,305
PJ2Z504_5,301
PJ2Z505_1,101
PJ2Z505_2,101
PJ2Z505_3,101
PJ2Z505_4,101
PJ2Z505_5,101
PJ2Z507_1,1.0
PJ2Z507_2,2.0
PJ2Z507_3,1.0
PJ2Z507_4,6.0
PJ2Z507_5,3.0
PJ2Z508_1,1.0
PJ2Z508_2,1.0
PJ2Z508_3,1.0
PJ2Z508_4,1.0
PJ2Z508_5,1.0
PJ2Z510M_1,5.0
PJ2Z510M_2,5.0
PJ2Z510M_3,5.0
PJ2Z510M_4,5.0
PJ2Z510M_5,3.0
PLBRTYPE,1.0
PLBELIG,5.0
PLBCOMP,1.0
PLB001A,7.0
PLB001B,7.0
PLB001C,7.0
PLB001D,7.0
PLB001E,7.0
PLB001F,7.0
PLB001G,7.0
PLB001H,1.0
PLB001I,1.0
PLB001J,1.0
PLB001K,7.0
PLB001L,7.0
PLB001M,7.0
PLB001N,7.0
PLB001O,2.0
PLB001P,7.0
PLB001Q,7.0
PLB001R,7.0
PLB001S,7.0
PLB001T,2.0
PLB001U,7.0
PLB002A,6.0
PLB002B,6.0
PLB002C,7.0
PLB002D,7.0
PLB002E,6.0
PLB003,1.0
PLB004A,1.0
PLB004B,1.0
PLB004C,1.0
PLB004D,3.0
PLB004E,3.0
PLB004F,4.0
PLB004G,3.0
PLB005,1.0
PLB005A,2.0
PLB005B,2.0
PLB005C1,3.0
PLB005C2,3.0
PLB005C3,3.0
PLB005C4,3.0
PLB005C5,3.0
PLB005C6,3.0
PLB005C7,3.0
PLB005C8,3.0
PLB005C9,3.0
PLB005D1,1.0
PLB005D2,1.0
PLB005D3,3.0
PLB005D4,3.0
PLB005D5,1.0
PLB006,1.0
PLB007A,2.0
PLB007B,1.0
PLB007C,1.0
PLB007D,4.0
PLB007E,4.0
PLB007F,4.0
PLB007G,4.0
PLB008A,3.0
PLB008B,1.0
PLB008C,6.0
PLB008D,6.0
PLB009,2.0
PLB010,1.0
PLB011A,2.0
PLB011B,1.0
PLB011C,2.0
PLB011D,4.0
PLB011E,4.0
PLB011F,4.0
PLB011G,4.0
PLB012A,3.0
PLB012B,2.0
PLB012C,6.0
PLB012D,6.0
PLB013,1.0
PLB013A,5.0
PLB014,1.0
PLB015A,2.0
PLB015B,1.0
PLB015C,2.0
PLB015D,4.0
PLB015E,4.0
PLB015F,4.0
PLB015G,4.0
PLB016A,2.0
PLB016B,2.0
PLB016C,6.0
PLB016D,6.0
PLB017,2.0
PLB017A,1.0
PLB018A,1.0
PLB018B,5.0
PLB018C,5.0
PLB018D,6.0
PLB018E,1.0
PLB018F,1.0
PLB018G,1.0
PLB018H,1.0
PLB018I,1.0
PLB018J,1.0
PLB019A,3.0
PLB019B,3.0
PLB019C,3.0
PLB019D,1.0
PLB019E,3.0
PLB019F,1.0
PLB019G,1.0
PLB019H,1.0
PLB019I,1.0
PLB019J,1.0
PLB019K,1.0
PLB020A,1.0
PLB020B,1.0
PLB020C,1.0
PLB020D,1.0
PLB020E,1.0
PLB020F,1.0
PLB020G,1.0
PLB020H,1.0
PLB021A,1.0
PLB021B,1.0
PLB021C,1.0
PLB021D,1.0
PLB021E,1.0
PLB022A,5.0
PLB022B,6.0
PLB022C,5.0
PLB022D,5.0
PLB022E,5.0
PLB023,8.0
PLB024,10.0
PLB025,10.0
PLB025A,3.0
PLB026A,5.0
PLB026B,4.0
PLB026C,2.0
PLB026D,3.0
PLB026E,5.0
PLB026F,3.0
PLB026G,2.0
PLB026H,2.0
PLB026I,5.0
PLB026J,4.0
PLB026K,2.0
PLB026L,5.0
PLB026M,5.0
PLB026N,5.0
PLB026O,5.0
PLB026P,2.0
PLB026Q,2.0
PLB026R,5.0
PLB026S,4.0
PLB026T,3.0
PLB026U,2.0
PLB026V,2.0
PLB026W,5.0
PLB026X,2.0
PLB026Y,3.0
PLB027A,6.0
PLB027B,6.0
PLB027C,6.0
PLB027D,6.0
PLB028A,70.0
PLB028B1,4.0
PLB028B2,5.0
PLB028B3,1.0
PLB028B4,5.0
PLB028B5,5.0
PLB028B6,5.0
PLB028B7,5.0
PLB028B8,4.0
PLB029A,6.0
PLB029B,6.0
PLB029C,6.0
PLB029D,6.0
PLB029E,6.0
PLB029F,6.0
PLB030M1,4.0
PLB030M2,4.0
PLB030M3,4.0
PLB030M4,8.0
PLB030M5,10.0
PLB030M6,10.0
PLB030M7,7.0
PLB030M8,8.0
PLB030M9,9.0
PLB031A,2.0
PLB031B,1.0
PLB031C,4.0
PLB031D,4.0
PLB031E,2.0
PLB031F,1.0
PLB031G,1.0
PLB031H,3.0
PLB031I,1.0
PLB031J,2.0
PLB031K,1.0
PLB031L,3.0
PLB031M,2.0
PLB031N,1.0
PLB031O,2.0
PLB031P,1.0
PLB031Q,2.0
PLB031R,1.0
PLB031S,1.0
PLB031T,2.0
PLB031U,2.0
PLB031V,4.0
PLB031W,2.0
PLB031X,3.0
PLB031Y,1.0
PLB031Z_1,2.0
PLB031Z_2,2.0
PLB031Z_3,2.0
PLB031Z_4,2.0
PLB031Z_5,2.0
PLB031Z_6,2.0
PLB032_1,0.0
PLB032_2,0.0
PLB032_3,0.0
PLB032_4,0.0
PLB032_5,0.0
PLB032A_1,4.0
PLB032A_2,4.0
PLB032A_3,3.0
PLB032A_4,4.0
PLB032A_5,3.0
PLB032A_6,1.0
PLB033A,5.0
PLB033B,1.0
PLB033C,6.0
PLB033D,1.0
PLB033E,1.0
PLB033F,1.0
PLB033G,6.0
PLB033A_1,4.0
PLB033A_2,4.0
PLB033A_3,4.0
PLB033A_4,4.0
PLB033A_5,4.0
PLB033A_6,4.0
PLB034A,2.0
PLB034B,2.0
PLB034C,2.0
PLB034D,2.0
PLB034E,3.0
PLB034F,3.0
PLB034G,3.0
PLB035,1.0
PLB035A_1,2.0
PLB035A_2,1.0
PLB035A_3,1.0
PLB035A_4,1.0
PLB035A_5,1.0
PLB035A_6,1.0
PLB035A_7,1.0
PLB035A_8,1.0
PLB036,8.0
PLB037,3.0
PLB038,3.0
PLB039_MO,5.0
PLB039_DA,1.0
PLB040_AP,1.0
PLB040_HR,6.0
PLB040_MI,0.0
PLB041_AP,2.0
PLB041_HR,10.0
PLB041_MI,30.0
PLB042A,1.0
PLB042B,1.0
PLB042C,3.0
PLB042D,1.0
PLB042E,4.0
PLB042F,1.0
PLB042G,1.0
PLB042H,4.0
PLB042I,1.0
PLB042J,2.0
PLB042K,1.0
PLB043,1.0
PLB044,1.0
PLB045,3.0
PLB046,1.0
PLB047,1.0
PLB048_HR,3.0
PLB048_MI,30.0
PLB049A,3.0
PLB049B,5.0
PLB049C,0.0
PLB049D,0.0
PLB049E,3.0
PLB049F,0.0
PLB049G,0.0
PLB050,5.0
PLB051_HR,0.0
PLB051_MI,0.0
PLB052A,5.0
PLB052B,5.0
PLB052C,0.0
PLB052D,0.0
PLB052E,5.0
PLB052F,0.0
PLB052G,0.0
PLB053,1.0
PLB054,5.0
PLB055_HR,1.0
PLB055_MI,30.0
PLB056A,5.0
PLB056B,5.0
PLB056C,0.0
PLB056D,0.0
PLB056E,5.0
PLB056F,0.0
PLB056G,0.0
PLB057,5.0
PLB058_HR,0.0
PLB058_MI,0.0
PLB059A,0.0
PLB059B,0.0
PLB059C,0.0
PLB059D,0.0
PLB059E,0.0
PLB059F,0.0
PLB059G,0.0
PLB060,5.0
PLB061_HR,1.0
PLB061_MI,30.0
PLB062A,5.0
PLB062B,5.0
PLB062C,0.0
PLB062D,0.0
PLB062E,5.0
PLB062F,0.0
PLB062G,0.0
PLB063,1.0
PLB064_HR,2.0
PLB064_MI,0.0
PLB065A,5.0
PLB065B,5.0
PLB065C,0.0
PLB065D,0.0
PLB065E,5.0
PLB065F,0.0
PLB065G,0.0
PLB066,5.0
PLB067_HR,2.0
PLB067_MI,0.0
PLB068A,5.0
PLB068B,5.0
PLB068C,0.0
PLB068D,0.0
PLB068E,5.0
PLB068F,0.0
PLB068G,0.0
PLB069,5.0
PLB070_HR,1.0
PLB070_MI,0.0
PLB071A,5.0
PLB071B,5.0
PLB071C,0.0
PLB071D,0.0
PLB071E,5.0
PLB071F,0.0
PLB071G,0.0
PLB072,5.0
PLB073A,1.0
PLB073B,5.0
PLB074A,10.0
PLB074B,10.0
PLB074C,10.0
PLB074D,10.0
PLB075A,1.0
PLB075B,1.0
PLB075C,1.0
PLB075D,1.0
PLB075E,1.0
PLB075F,1.0
PLB075G,4.0
PLB075H,4.0
PLB075I,4.0
PLB075J,4.0
PLB075K,4.0
PLB075L,4.0
PLB076,4.0
PLB077,1.0
PM002,5.0
PM003M1M,111.0
PM003M2M,997.0
PM004,5.0
PM005,5.0
PM006,5.0
PM007,5.0
PM008,1.0
PM011,2.0
PM013,5.0
PM014,2000.0
PM015,6.0
PM018,5.0
PM020,5.0
PM021,1.0
PM023,5.0
PM024,1.0
PM026,7.0
PMW200A,1.0
PMW202AM,15.0
PMW201AM,17.0
PMW203A,9999998.0
PMW204A,6.0
PMW205A,26000.0
PMW206A,1.0
PMW208A,40.0
PMW209A,52.0
PMW210A,5.0
PM028,5.0
PMW211A,1.0
PMW214A,5.0
PMW217A,1.0
PMW220A,1.0
PMW223A,5.0
PMW226A,5.0
PMW227A,5.0
PMW228A,5.0
PMW229A,5.0
PMW230A,5.0
PMW231A1,22.0
PM029,5.0
PM030,1.0
PMW238A,1.0
PMW256A,7.0
PMW239A,9998.0
PMW240A,0.0
PMW241A,99999996.0
PMW242A,99.0
PMW244A,2015.0
PMW243A,12.0
PMW238B,1.0
PMW256B,4.0
PMW239B,9998.0
PMW240B,0.0
PMW241B,99999996.0
PMW242B,99.0
PMW244B,9998.0
PMW243B,1.0
PMW238E,1.0
PMW239E,9998.0
PMW240E,0.0
PMW241E,1500.0
PM034,1.0
PMW232F,100.0
PMW234F,2001.0
PMW239F,3069.0
PMW239G,1200.0
PM036,5.0
PM037M1,2.0
PM037M2,7.0
PM058,3.0
PMW250A,2010.0
PMW249A,10.0
PMW252A,9997.0
PM040,1.0
PMW245C,1.0
PMW247C,2015.0
PMW246C,98.0
PMW248C,5.0
PMW234I,2012.0
PMW235I,5.0
PMW238I,1.0
PMW256I,7.0
PMW239I,9998.0
PMW240I,650.0
PMW241I,650.0
PMW244I,9998.0
PMW250B,9998.0
PMW249B,6.0
PMW252B,9997.0
PM041,1.0
PMW245D,5.0
PMW234J,2012.0
PMW238J,1.0
PMW239J,244.0
PMW240J,601.0
PMW241J,99999996.0
PMW250C,2016.0
PMW249C,98.0
PMW252C,2015.0
PMW251C,3.0
PM042,3.0
PMW245E,5.0
PMW232K,10.0
PMW234K,2016.0
PMW233K,1.0
PMW239K,133.0
PMW250E,2016.0
PMW249E,3.0
PMW252E,9998.0
PMW251E,2.0
PM050,1.0
PMW245G,5.0
PMW234P,2014.0
PMW233P,9.0
PMW238P,1.0
PMW239P,9998.0
PMW240P,0.0
PMW244P,9998.0
PM051,5.0
PM052,1.0
PM053,2.0
PM055,2015.0
PM056,1.0
PM502,1.0
PM503M1M,112.0
PM503M2M,139.0
PM504,5.0
PM710,0.0
PM506,5.0
PM507,5.0
PM711,0.0
PM508M1M,162.0
PM512,9998.0
PM712,4.0
PM526,2.0
PM690,1.0
PM527,1.0
PM691,1.0
PM548,1973.0
PM550,1973.0
PM554,1.0
PM555,1.0
PM557,1.0
PM693,0.0
PM558,1.0
PM694,1.0
PM559M1M,119.0
PM559M2M,997.0
PM560,1.0
PM564,2.0
PM565,1.0
PM566,5.0
PM569,5.0
PM577,1.0
PM579,7.0
PM701,0.0
PM708,1.0
PMW200B,2.0
PMW202BM,5.0
PMW201BM,21.0
PMW203B,900.0
PMW205B,440.0
PMW208B,44.0
PMW209B,50.0
PMW210B,1.0
PM587,7.0
PM588,95.0
PM597,4.0
PM705,0.0
PM641,1.0
PM642,5.0
PM645,1.0
PM646,2007.0
PM648,1.0
PMW234Q,2007.0
PMW235Q,5.0
PMW237Q,2012.0
PMW238Q,1.0
PMW256Q,1.0
PMW239Q,781.0
PMW240Q,0.0
PMW242Q,98.0
PMW244Q,2012.0
PM649M1,5.0
PM570,5.0
PM695,1.0
PM572M1,2.0
PM658,9998.0
PMW232T,10.0
PMW234T,1976.0
PMW239T,9998.0
PM685,1.0
PP155,13.0
PP156,0.0
PP002,1.0
PP196,less
PP166,50.0
PP197,gained
PP168,0.0
PP005,100.0
PP006,100.0
PP059,0.0
PP007,0.0
PP009,1.0
PP014,0.0
PP015,0.0
PP016,0.0
PP181,10.0
PP182,0.0
PP020,0.0
PP029,50.0
PP157,2.0
PP107,50.0
PP175,0.0
PP176,0.0
PP177,0.0
PP178,0.0
PP032,0.0
PP111,50.0
PP112,0.0
PP183,50.0
PP047,50.0
PP113,2.0
PP149,2.0
PP150,10.0
PP180,50.0
PP097,3.0
PP041,2.0
PP185,3.0
PP056,1.0
PX003_R,1.0
PX007_R,3.0
PZ077_R,3.0
PX060_R,2.0
PX065_R,1.0
PZ066_R,1.0
PX004_R,3.0
PX067_R,1932.0
PZ008_R,5.0
PZ009_R,4.0
PZ010_R,2.0
PZ011_R,2.0
PZ012_R,2.0
PZ013_R,5.0
PZ014_R,5.0
PZ015_R,5.0
PZ016_R,5.0
PZ076,1.0
PZ078,1.0
PZ080,1.0
PZ081,5.0
PZ087,3.0
PZ089,5.0
PZ090,5.0
PZ092,4.0
PZ093,2014.0
PZ095,1.0
PZ096,2.0
PZ098,5.0
PZ099,5.0
PZ100,5.0
PZ101,1.0
PZ102,5.0
PZ103,5.0
PZ104,5.0
PZ105,5.0
PZ106,5.0
PZ107,5.0
PZ108,1.0
PZ110,5.0
PZ112,5.0
PZ113,1.0
PZ114,0.0
PZ117,5.0
PZ118,5.0
PZ119,5.0
PZ120,5.0
PZ122,5.0
PZ123,5.0
PZ124,1.0
PZ125,1.0
PZ126,1.0
PZ127,5.0
PZ134,1.0
PZ136,1.0
PZ137,40.0
PZ138,52.0
PZ153,0.0
PZ154,0.0
PZ155,0.0
PZ156,0.0
PZ157,0.0
PZ158,0.0
PZ159,0.0
PZ160,0.0
PZ161,0.0
PZ162,0.0
PZ163,0.0
PZ164,0.0
PZ165,0.0
PZ166,0.0
PZ167,0.0
PZ168,0.0
PZ169,0.0
PZ170,0.0
PZ171,0.0
PZ172,0.0
PZ173,0.0
PZ174,0.0
PZ175,0.0
PZ176,0.0
PZ177,0.0
PZ178,0.0
PZ179,0.0
PZ180,0.0
PZ181,0.0
PZ182,0.0
PZ183,0.0
PZ184,0.0
PZ185,0.0
PZ186,0.0
PZ187,0.0
PZ188,0.0
PZ189,0.0
PZ190,0.0
PZ198,0.0
PZ199,0.0
PZ201,1.0
PZ204,2001.0
PZ205,1.0
PZ212,0.0
PZ213,1.0
PZ216,12.0
PZ219,1.0
PZ230,1.0
PZ231,5.0
PZ232,5.0
PX090_R,3.0
PX501_R,1.0
PX502_R,1.0
PX503_R,2.0
PX504_R,1.0
PX505_R,2.0
PX506_R,2.0
PX507_R,1.0
PX508_R,2.0
PX509_R,1.0
PX510_R,1.0
PX511_R,2.0
PX512_R,3.0
PX513_R,2.0
PX514_R,3.0
PX515_R,1.0
PX516_R,3.0
PX517_R,3.0
PX518_R,1.0
PX519_R,3.0
PX520_R,1.0
PX521_R,53.0
PX522_R,91.0
PX523_R,2.0
PX524_R,1.0
PX525_R,2.0
PX527,5.0
PX528,2.0
PX529,6.0
PX530,1.0
PZ240,5.0
PZ241,5.0
PZ242,1.0
PZ244,5.0
PZ246,59.0
PZ254,1.0
